Module,Run_Type,Run_Start_ticks,Run_Start_sec,Unused1,Unused2
0,0x501,3191021589,1680641241,--,--
No,Ch,Hit,Time_H,Time_L,Energy
681,0,0x110121,0,632558824,251
682,1,0x110222,0,632558856,510
683,0,0x110121,0,632570440,232
684,0,0x110121,0,633189128,1027
685,1,0x110222,0,633838600,453
686,0,0x110121,0,634068744,1876
687,1,0x110222,0,634068808,2344
688,1,0x110222,0,635324136,470
689,1,0x110222,0,637272200,475
690,0,0x110121,0,640008744,2686
691,1,0x110222,0,644494248,1756
692,1,0x110222,0,645296296,4255
693,0,0x110121,0,647013096,2134
694,1,0x110222,0,649979048,2432
695,1,0x110222,0,653258760,537
696,1,0x110222,0,653660104,4936
697,0,0x110121,0,654701192,3133
698,0,0x110121,0,655871752,2775
699,1,0x110222,0,655871848,1369
700,1,0x110222,0,655960104,2441
701,0,0x110121,0,656312936,481
702,1,0x110222,0,656757864,2337
703,1,0x110222,0,658365608,1007
704,1,0x110222,0,659716552,1654
705,1,0x110222,0,660165832,3067
706,0,0x110121,0,660783176,973
707,0,0x110121,0,661080520,1107
708,1,0x110222,0,661911016,2238
709,1,0x110222,0,662139816,656
710,1,0x110222,0,662257096,2597
711,0,0x110121,0,663232904,2824
712,0,0x110121,0,663254216,512
713,1,0x110222,0,665004104,1366
714,1,0x110222,0,666360008,1876
715,0,0x110121,0,666877512,2009
716,1,0x110222,0,666877576,2595
717,1,0x110222,0,667408808,493
718,1,0x110222,0,667792264,363
719,0,0x110121,0,668072104,884
720,0,0x110121,0,668942024,433
721,1,0x110222,0,668975240,2691
722,1,0x110222,0,669113800,2318
723,1,0x110222,0,669447816,854
724,0,0x110121,0,669850888,479
725,0,0x110121,0,671361064,3162
726,1,0x110222,0,671361160,1382
727,0,0x110121,0,672239080,3051
728,1,0x110222,0,675333896,1173
729,1,0x110222,0,675715880,775
730,0,0x110121,0,677679336,2262
731,1,0x110222,0,677679400,2378
732,0,0x110121,0,678579624,1193
733,0,0x110121,0,678683848,2951
734,1,0x110222,0,680090696,2658
735,0,0x110121,0,680696520,2722
736,1,0x110222,0,682359432,725
737,0,0x110121,0,684080456,2257
738,1,0x110222,0,684080552,2168
739,0,0x110121,0,685291560,2756
740,1,0x110222,0,687394504,1829
741,0,0x110121,0,688266312,1488
742,0,0x110121,0,689494248,1017
743,1,0x110222,0,690631080,416
744,1,0x110222,0,690665096,689
745,1,0x110222,0,691570344,306
746,1,0x110222,0,692522056,347
747,0,0x110121,0,694215592,1055
748,0,0x110121,0,694234056,3119
749,1,0x110222,0,694234120,1511
750,1,0x110222,0,696173352,1073
751,1,0x110222,0,697262632,658
752,1,0x110222,0,697307272,1624
753,0,0x110121,0,698378376,494
754,1,0x110222,0,698378440,1629
755,0,0x110121,0,698824968,1108
756,1,0x110222,0,698825032,2655
757,0,0x110121,0,699897224,2586
758,0,0x110121,0,701463176,1639
759,0,0x110121,0,705005192,880
760,1,0x110222,0,705177512,2187
761,0,0x110121,0,706479656,1282
762,0,0x110121,0,708370344,2808
763,0,0x110121,0,708508264,231
764,0,0x110121,0,711498888,589
765,1,0x110222,0,711498920,2333
766,0,0x110121,0,713055976,784
767,1,0x110222,0,713056040,924
768,0,0x110121,0,713572680,761
769,0,0x110121,0,714789832,352
770,1,0x110222,0,717791208,595
771,0,0x110121,0,719730088,2191
772,1,0x110222,0,727033320,2232
773,0,0x110121,0,728073992,2747
774,1,0x110222,0,728074152,417
775,1,0x110222,0,729252904,874
